year,outlook,temp,wind,season,humidity,up/down,market difference,current,previous day
2015,overcast,48,7,winter,82,up,168.43,17888.35,17719.92
2015,overcast,52,3,winter,90,down,-158.67,17729.68,17888.35
2015,cloudy,50,8,winter,66,down,-252.01,17477.67,17729.68
2015,clear,47,4,winter,52,up,369.96,17847.63,17477.67
2015,clear,46,2,winter,53,down,-39.04,17808.59,17847.63
2015,clear,46,3,winter,60,down,-39.04,17769.55,17808.59
2015,clear,48,4,winter,51,down,-39.04,17730.51,17769.55
2015,overcast,45,5,winter,56,down,-162.51,17568.00,17730.51
2015,overcast,48,4,winter,61,down,-75.70,17492.30,17568.00
2015,clear,56,4,winter,62,up,82.45,17574.75,17492.30
2015,clear,56,5,winter,66,down,-309.54,17265.21,17574.75
2015,clear,61,2,winter,58,up,34.43,17299.64,17265.21
2015,haze,61,3,winter,60,up,34.43,17334.07,17299.64
2015,overcast,60,5,winter,78,up,34.43,17368.50,17334.07
2015,light rain,61,10,winter,63,up,156.41,17524.91,17368.50
2015,clear,50,5,winter,62,up,224.18,17749.09,17524.91
2015,rain,55,5,winter,78,down,-253.25,17495.84,17749.09
2015,overcast,48,7,winter,61,down,-367.29,17128.55,17495.84
2015,cloudy,38,9,winter,41,up,41.02,17169.57,17128.55
2015,clear,39,6,winter,41,up,41.02,17210.59,17169.57
2015,clear,48,7,winter,54,up,41.03,17251.62,17210.59
2015,light rain,58,5,winter,76,up,165.65,17417.27,17251.62
2015,rain,58,4,winter,87,up,185.34,17602.61,17417.27
2015,cloudy,68,4,winter,73,down,-50.44,17552.17,17602.61
2015,overcast,62,1,winter,74,down,-5.98,17546.19,17552.17
2015,overcast,53,8,winter,57,down,-5.97,17540.22,17546.19
2015,overcast,54,6,winter,79,down,-5.98,17534.24,17540.22
2015,clear,40,8,winter,56,down,-5.97,17528.27,17534.24
2015,overcast,40,7,winter,87,up,192.71,17720.98,17528.27
2015,overcast,43,4,winter,81,down,-117.11,17603.87,17720.98
2015,overcast,45,5,winter,71,down,-178.84,17425.03,17603.87
2016,overcast,38,8,winter,52,down,-69.03,17356.00,17425.03
2016,overcast,36,7,winter,46,down,-69.02,17286.98,17356.00
2016,clear,40,8,winter,47,down,-69.02,17217.96,17286.98
2016,clear,25,9,winter,44,down,-69.02,17148.94,17217.96
2016,clear,20,5,winter,41,up,9.72,17158.66,17148.94
2016,clear,33,4,winter,35,down,-252.15,16906.51,17158.66
2016,cloudy,39,2,winter,33,down,-392.41,16514.10,16906.51
2016,overcast,39,4,winter,64,down,-167.65,16346.45,16514.10
2016,overcast,44,8,winter,77,up,17.37,16363.82,16346.45
2016,heavy rain,50,10,winter,71,up,17.37,16381.19,16363.82
2016,clear,33,10,winter,37,up,17.38,16398.57,16381.19
2016,clear,35,6,winter,53,up,116.65,16515.22,16398.57
2016,clear,26,10,winter,42,down,-363.81,16151.41,16515.22
2016,overcast,30,5,winter,47,up,227.64,16379.05,16151.41
2016,clear,43,5,winter,62,down,-390.97,15988.08,16379.05
2016,light rain,47,7,winter,70,up,6.98,15995.06,15988.08
2016,overcast,36,6,winter,66,up,6.99,16002.05,15995.06
2016,light snow,25,12,winter,53,up,6.98,16009.03,16002.05
2016,clear,22,11,winter,42,up,6.99,16016.02,16009.03
2016,clear,32,6,winter,49,down,-249.28,15766.74,16016.02
2016,clear,31,6,winter,45,up,115.94,15882.68,15766.74
2016,clear,26,7,winter,41,up,210.83,16093.51,15882.68
2016,heavy snow,26,16,winter,78,down,-69.43,16024.08,16093.51
2016,light snow,28,6,winter,53,down,-69.43,15954.65,16024.08
2016,clear,34,3,winter,54,down,-69.43,15885.22,15954.65
2016,clear,43,7,winter,56,up,282.01,16167.23,15885.22
2016,cloudy,41,7,winter,45,down,-222.77,15944.46,16167.23
2016,clear,37,5,winter,51,up,125.18,16069.64,15944.46
2016,overcast,36,8,winter,50,up,396.66,16466.30,16069.64
2016,clear,34,7,winter,46,down,-8.56,16457.74,16466.30
2016,clear,46,5,winter,52,down,-8.56,16449.18,16457.74
2016,cloudy,70,7,spring,61,up,107.66,17792.75,17685.09
2016,overcast,55,5,spring,63,down,-18.58,17774.17,17792.75
2016,cloudy,42,13,spring,51,down,-18.58,17755.59,17774.17
2016,rain,37,7,spring,67,down,-18.58,17737.01,17755.59
2016,clear,35,8,spring,44,down,-133.69,17603.32,17737.01
2016,clear,39,6,spring,48,up,112.73,17716.05,17603.32
2016,overcast,53,7,spring,69,down,-174.09,17541.96,17716.05
2016,overcast,45,7,spring,48,up,35.00,17576.96,17541.96
2016,light rain,40,12,spring,63,down,-6.85,17570.11,17576.96
2016,clear,41,5,spring,36,down,-6.85,17563.26,17570.11
2016,overcast,54,7,spring,51,down,-6.85,17556.41,17563.26
2016,light rain,52,6,spring,61,up,164.84,17721.25,17556.41
2016,clear,49,6,spring,42,up,187.03,17908.28,17721.25
2016,clear,53,6,spring,42,up,18.15,17926.43,17908.28
2016,clear,54,4,spring,47,down,-28.97,17897.46,17926.43
2016,clear,56,8,spring,40,up,35.57,17933.03,17897.46
2016,clear,60,3,spring,43,up,35.57,17968.59,17933.03
2016,clear,67,4,spring,34,up,35.57,18004.16,17968.59
2016,clear,64,8,spring,26,up,49.44,18053.60,18004.16
2016,clear,59,6,spring,23,up,42.67,18096.27,18053.60
2016,clear,61,6,spring,37,down,-113.75,17982.52,18096.27
2016,clear,71,4,spring,55,up,21.23,18003.75,17982.52
2016,light rain,63,7,spring,63,down,-8.84,17994.91,18003.75
2016,clear,58,6,spring,42,down,-8.84,17986.08,17994.91
2016,clear,60,4,spring,49,down,-8.84,17977.24,17986.08
2016,rain,54,7,spring,75,up,13.08,17990.32,17977.24
2016,overcast,54,4,spring,60,up,51.23,18041.55,17990.32
2016,clear,54,5,spring,51,down,-210.79,17830.76,18041.55
2016,overcast,52,6,spring,48,down,-57.12,17773.64,17830.76
2016,overcast,56,6,spring,50,up,39.17,17812.81,17773.64
2016,light rain,48,5,spring,72,up,39.17,17851.99,17812.81
2016,overcast,53,2,spring,83,up,39.17,17891.16,17851.99
2016,rain,54,6,spring,90,down,-140.25,17750.91,17891.16
2016,overcast,50,9,spring,80,down,-99.65,17651.26,17750.91
2016,overcast,52,8,spring,72,up,9.45,17660.71,17651.26
2016,rain,51,8,spring,80,up,79.92,17740.63,17660.71
2016,overcast,54,4,spring,80,down,-11.57,17729.06,17740.63
2016,light rain,58,5,spring,54,down,-11.57,17717.48,17729.06
2016,clear,62,5,spring,37,down,-11.57,17705.91,17717.48
2016,clear,57,5,spring,42,up,222.44,17928.35,17705.91
2016,clear,63,3,spring,48,down,-217.23,17711.12,17928.35
2016,clear,68,3,spring,48,up,9.38,17720.50,17711.12
2016,light rain,62,6,spring,86,down,-185.18,17535.32,17720.50
2016,clear,65,4,spring,83,up,58.46,17593.78,17535.32
2016,overcast,52,3,spring,48,up,58.46,17652.25,17593.78
2016,overcast,55,4,spring,31,up,58.46,17710.71,17652.25
2016,clear,58,4,spring,56,down,-180.73,17529.98,17710.71
2016,clear,56,2,spring,57,down,-3.36,17526.62,17529.98
2016,cloudy,64,1,spring,47,down,-91.22,17435.40,17526.62
2016,clear,65,5,spring,42,up,65.54,17500.94,17435.40
2016,clear,60,4,spring,62,down,-2.67,17498.27,17500.94
2016,overcast,61,4,spring,63,down,-2.67,17495.60,17498.27
2016,clear,67,3,spring,63,down,-2.67,17492.93,17495.60
2016,light rain,66,2,spring,70,up,213.12,17706.05,17492.93
2016,clear,75,4,spring,46,up,145.46,17851.51,17706.05
2016,clear,80,4,spring,37,down,-23.22,17828.29,17851.51
2016,clear,80,4,spring,54,up,44.93,17873.22,17828.29
2016,clear,82,4,spring,55,down,-21.51,17851.72,17873.22
2016,clear,79,5,spring,58,down,-21.51,17830.21,17851.72
